coupon_bu,amount_bucket,threshold_bucket,matured_issued,transaction_matched,match_rate_pct,face_value_exposure
A,00-<5,00-no-threshold,250474,41139,16.4245,484477.69
A,00-<5,01-<20,1571578,47589,3.0281,3377174.3
A,00-<5,02-20-<50,2892033,217887,7.534,8679961.6
A,00-<5,03-50-<100,206741,13992,6.7679,632228.6
A,00-<5,04-100+,3029,273,9.0129,8099.0
A,01-5-<10,00-no-threshold,1923056,356063,18.5155,11203065.78
A,01-5-<10,01-<20,999423,2711,0.2713,7356786.2
A,01-5-<10,02-20-<50,7350321,270619,3.6817,49466160.5
A,01-5-<10,03-50-<100,1364759,14862,1.089,10184636.7
A,01-5-<10,04-100+,26805,1255,4.682,154249.0
A,02-10-<20,00-no-threshold,69497,43101,62.0185,727739.8
A,02-10-<20,01-<20,420598,2945,0.7002,4510791.3
A,02-10-<20,02-20-<50,1395660,46139,3.3059,16943935.7
A,02-10-<20,03-50-<100,308173,5190,1.6841,3999574.8
A,02-10-<20,04-100+,35422,691,1.9508,478752.0
A,03-20-<50,00-no-threshold,9265,1014,10.9444,305201.8
A,03-20-<50,01-<20,215,0,0.0,6450.0
A,03-20-<50,02-20-<50,35332,568,1.6076,928021.7
A,03-20-<50,03-50-<100,13911,114,0.8195,358118.9
A,03-20-<50,04-100+,28631,106,0.3702,623290.0
A,04-50-<100,00-no-threshold,56291,1160,2.0607,4067194.8
A,04-50-<100,01-<20,476,0,0.0,26045.0
A,04-50-<100,02-20-<50,137,0,0.0,10900.0
A,04-50-<100,03-50-<100,1434,4,0.2789,82028.0
A,04-50-<100,04-100+,4984,2,0.0401,344059.0
A,05-100+,00-no-threshold,4,0,0.0,600.0
A,05-100+,04-100+,1306,0,0.0,251804.0
B,00-<5,00-no-threshold,1989,43,2.1619,2433.0
B,00-<5,02-20-<50,12,0,0.0,36.0
B,00-<5,03-50-<100,641,4,0.624,1947.0
B,00-<5,04-100+,2792,35,1.2536,8453.0
B,01-5-<10,00-no-threshold,14095,3,0.0213,70522.0
B,01-5-<10,01-<20,2888,55,1.9044,14441.0
B,01-5-<10,02-20-<50,48889,109,0.223,245052.0
B,01-5-<10,03-50-<100,858,10,1.1655,4487.4
B,01-5-<10,04-100+,13022,194,1.4898,70693.62
B,02-10-<20,00-no-threshold,32164,220,0.684,352920.0
B,02-10-<20,01-<20,75902,100,0.1317,769600.0
B,02-10-<20,02-20-<50,126,2,1.5873,1260.0
B,02-10-<20,03-50-<100,47865,233,0.4868,478861.0
B,02-10-<20,04-100+,67396,782,1.1603,936291.55
B,03-20-<50,00-no-threshold,18312,80,0.4369,400295.0
B,03-20-<50,01-<20,1,1,100.0,49.81
B,03-20-<50,02-20-<50,14,5,35.7143,280.0
B,03-20-<50,03-50-<100,144,19,13.1944,3668.0
B,03-20-<50,04-100+,62375,3457,5.5423,2191720.0
B,04-50-<100,00-no-threshold,3749,0,0.0,189161.0
B,04-50-<100,04-100+,312664,3622,1.1584,18690424.31
B,04-50-<100,unknown,1,1,100.0,99.0
B,05-100+,00-no-threshold,428,73,17.0561,1107339.0
B,05-100+,01-<20,1057799,8358,0.7901,530749650.94
B,05-100+,03-50-<100,274263,6462,2.3561,137081400.0
B,05-100+,04-100+,241360,2158,0.8941,84543950.49
D,unknown,unknown,599764,14300,2.3843,0.0
E,00-<5,00-no-threshold,74011,2793,3.7738,203443.86
E,00-<5,01-<20,800,128,16.0,2352.0
E,00-<5,02-20-<50,1417,346,24.4178,4458.0
E,00-<5,03-50-<100,949,185,19.4942,3796.0
E,01-5-<10,00-no-threshold,88661,327,0.3688,520194.2
E,01-5-<10,01-<20,9954,399,4.0084,66012.0
E,01-5-<10,02-20-<50,20813,791,3.8005,151806.8
E,01-5-<10,03-50-<100,12153,1026,8.4424,84782.0
E,01-5-<10,04-100+,5422,286,5.2748,33699.0
E,02-10-<20,00-no-threshold,533,2,0.3752,7875.0
E,02-10-<20,01-<20,2955,135,4.5685,29555.0
E,02-10-<20,02-20-<50,249481,4283,1.7168,2828538.0
E,02-10-<20,03-50-<100,72658,2008,2.7636,834482.0
E,02-10-<20,04-100+,8334,57,0.6839,108535.0
E,03-20-<50,00-no-threshold,324,33,10.1852,7760.0
E,03-20-<50,02-20-<50,1256,45,3.5828,27595.0
E,03-20-<50,03-50-<100,1843,93,5.0461,37516.9
E,03-20-<50,04-100+,1075,51,4.7442,25769.0
E,04-50-<100,03-50-<100,4007,1,0.025,214839.9
E,04-50-<100,04-100+,98,11,11.2245,4970.0
E,05-100+,00-no-threshold,5,1,20.0,500.0
E,05-100+,04-100+,19,1,5.2632,1900.0
