coupon_batch_id,coupon_bu,matured_issued,transaction_matched,no_transaction_coupons,face_value_exposure
c6bb95a2c1f776853348893b124ffadc,A,188109,0,188109,1504872.0
6f84c2d959d7cdf1d0f43efb518b3aac,A,183841,0,183841,1135718.0
27e1f1cb59f56d122e4c0f3bf7964e3e,A,180530,0,180530,1117986.0
3ae0e384c4238765910c7a0a904e7173,A,180267,0,180267,2381134.0
7ba3f757eff2b3a8cc1e71ce46cf3090,A,166215,0,166215,1012542.0
7e0807f690c77e2682832e228a000096,A,138262,0,138262,975100.0
7e7ccd4eade5ac3562a43b88d8a44bcf,A,136666,0,136666,1095902.0
62cd83c0d4e88954ab8ebaec912297c8,A,135346,0,135346,979583.0
1c41d9d02be8f3d46d97e36b1df9c40a,A,131892,0,131892,1055136.0
9950c681ecea39da584f9072a5f1a785,A,131719,0,131719,928596.0
703398309fd41b6d86aba9e2c80f01b7,A,125267,0,125267,1002136.0
70bce9525cca393192ba80c0c7c89aec,A,120759,0,120759,734836.0
c8b6da11c511a2467a483e98b51dce9d,A,114254,0,114254,918793.0
734c2384cf5c1233feff6c27e6e1d6c5,A,109924,0,109924,550958.0
a4957af3f431035ef651262c93701693,A,109031,0,109031,877376.0
d73ef10320e6d32985e22e2c11de4408,A,106333,0,106333,851283.0
3b434bbae9990cdfefadb44d83673af2,A,106070,0,106070,756103.0
2242841b248bf8ce761b0d2dc66dcab9,A,101271,0,101271,1368521.0
62df5dfd5ce31386fc2a060f178cb7b7,A,99220,0,99220,694540.0
bf09f5e101085ea5d0cbbb40dccd45e1,A,94689,0,94689,758832.0
5843d8222bf32fad2f8e22ff86ea3a47,A,92617,0,92617,742707.0
73bade6546eb7083b9873cad2dc3595d,A,85433,0,85433,608037.0
821eb8e59b206018d7faa112de00be14,A,84414,0,84414,1137107.0
da2ebcd4075dd1e85954fc3178fe529b,A,80162,0,80162,641296.0
6eb9e9bef2b77ef2c1cd1abe8df1a7a8,A,79958,0,79958,492153.0
2e165782998aa0c0138bee95bc2ef6c0,A,79606,0,79606,483560.0
60bb3c088a0b1f7f0b5a4c78fa740f8f,A,75998,0,75998,607984.0
3e52042a01c665279cff5661a33ee7bb,A,74195,0,74195,990846.0
c87a7f2b0db1c3f378d1e7184cdf970f,A,72000,0,72000,505986.0
9e2995ca00c688e8675f806bb3047614,A,71779,0,71779,717790.0
8c12b33cac0cea6fe5a0bc74e3fbe7e6,A,70546,0,70546,352730.0
5bc0b16dc81bc317063663fdecb97d9a,A,69849,0,69849,432744.0
7546120f4210b216e04888dc30002e7b,A,68589,0,68589,548712.0
c3629ac4b50b6c5f3383f6669d98d040,A,67933,0,67933,488456.0
53f84d55d982caaadf545a4ed1d22bee,A,67624,0,67624,545277.0
353ddb1bece181e304039aab8ba20321,A,67590,0,67590,473130.0
6622fa05cdf729e2748aba7093986996,A,65232,0,65232,521856.0
e5603ec1d3ed84f5cfd1e0245f46e1fe,A,64158,0,64158,391463.0
ee08b644e69a56c7b6a326b5585243d7,A,59699,0,59699,340320.7
45b0ea78c312c25136aadd3588cba4d0,A,58696,0,58696,472710.0
0c9c38d6a2c0824896d01b2f376720d7,A,58368,0,58368,468956.0
aa4b41a932c33ea06e85c0a29bf642b9,A,57332,0,57332,413562.0
aa7b19e5391226988f194e129e03170c,A,53936,0,53936,354309.0
b077a5d933fd0dda31ec37011cc20d41,A,49746,0,49746,319710.0
8e1d1678538daac53a68fb8c54cd336f,A,49200,0,49200,246000.0
e98706aa6d64e69f014030d7d1dc1e62,A,48446,0,48446,387568.0
926b80c026476156b74e282110f763ae,A,47804,0,47804,338449.0
c5d7ba264305c2581e744111366e9993,A,46818,0,46818,327726.0
87b579cbf70224f5c5139a832a3b5632,A,45918,0,45918,367344.0
7d5013c07d7c1066c758a81435205d68,A,44968,0,44968,326446.0
e2a1b4fd8b09db4a409042ae1105ba1f,A,44204,0,44204,319703.6
6d82f03f889b05ad21b04933f0dac8e7,A,43961,0,43961,110126.9
d7940f615241fee26305da65b153db81,A,42928,0,42928,300496.0
f8dca62d586d06db26131c8042bd7aa4,A,42225,0,42225,303730.0
46973c936028a9a131773865043b3a67,A,41410,0,41410,257302.0
6a27c30b018d593fdefb2eb9b9e901d8,A,40667,0,40667,325336.0
269b25b52a40e8b3bc57135b55c7e2bf,A,39467,0,39467,242342.0
851485910559c38d1d758a73f27ec042,A,37293,0,37293,298344.0
39fe77712d3d4a894b3dd30ef1308d16,A,36760,0,36760,478701.0
a3cc1e3f655adbfb8ea073116be8c0a9,A,35214,0,35214,105642.0
5ad49d1055a4853bf94484356185ac5a,A,33679,0,33679,224536.3
a90f171798cdf59066aaea3b844dcf1e,A,32785,0,32785,436480.0
e65bf2ebcd3ed496ba4456217e5f7726,A,31836,0,31836,426431.0
a8b5f974a09181e0784b133eaadce628,A,28124,0,28124,253116.0
02eaa9818ec1399e71224e0904501888,A,27844,0,27844,417660.0
dfd3b7c5d203980bb66e104e1b51a5bd,A,25224,0,25224,126120.0
9d7800e64a1ee0f9c6f4b69819ead950,A,23553,0,23553,211977.0
19a3909dcd17df77f941da7199914fca,A,21713,0,21713,133204.0
56354f5998013b434cfc19ae16715a33,A,21141,0,21141,217352.0
617d5e1dfd4070c6f501e35aea89b6f1,A,20438,0,20438,102190.0
b28dbf0daab4fc3894143f92a8c770ef,A,20377,0,20377,203770.0
87241fc1e884f3f37a597d76bd821bec,A,19762,0,19762,188908.3
27954daf1a1100bb24ec75c56bdc685c,A,18772,0,18772,72255.2
5ef49762b5222a40144544d6b3f5174d,A,18273,0,18273,182730.0
b49966e2cf1d227737874394c50f64ff,A,17615,0,17615,41942.3
4d63d9ca9b416b39973342665a037dfd,A,17508,0,17508,190254.0
ac53e09160b8af753369eeb71c736581,A,16420,0,16420,213940.0
33eb55a3a89eef42d71b0b49a827c776,A,16278,0,16278,55869.1
f85a45c4563f2a38b4c0dc9ed913db8e,A,16130,0,16130,116904.5
3df210aafed4172d7834dbd3ad1686ea,A,15870,0,15870,213447.0
19d28273d598f9b65c401b3f1a146827,A,15688,0,15688,107497.8
e36a1d26cdd0aeae07d2bf2c87c15a05,A,15673,0,15673,64744.2
6c2dd9a4475b22d55b8b864abe75205a,A,15165,0,15165,151739.4
38223d126e4a8f31516f02b0e699675c,A,14929,0,14929,104984.6
33fb1ff25287b82fea8c3d477915fa77,A,14546,0,14546,177161.0
